STOCK,DAYS HELD,CASH MADE/LOST,% RETURN,ANNUAL RETURN
MCHP,-691560,97095.39731657653,97.0953973166%,-0.0512461970336%
MCO,-691124,52314.12639405206,104.628252788%,-0.0552568168196%
MDLZ,1303,27766.652812936867,27.7666528129%,7.77807235359%
MDT,-691602,159430.49374867557,159.430493749%,-0.0841410669985%
MHK,-691474,112521.67880679847,225.043357614%,-0.118790909751%
MMC,-689363,33141.007599211924,66.2820151984%,-0.0350946243814%
MMM,-687868,140343.5373679789,140.343537368%,-0.074469798187%
MS,-688984,177783.27513097756,88.8916375655%,-0.0470917288521%
MSFT,1479,45516.94551694552,91.0338910339%,22.4661056304%
MSI,-691453,350571.23655913974,701.142473118%,-0.370114820079%
MU,2649,-10188.087774294669,-20.3761755486%,-2.80758930737%
MUR,2141,57947.11889132019,115.894237783%,19.7577752409%
MWV,2780,19195.612431444242,38.3912248629%,5.04057448739%
MYL,2187,290023.17831448314,145.011589157%,24.2017512768%
NBL,-689290,59796.43765903308,59.796437659%,-0.0316640307353%
NBR,4568,74400.01817954575,122.352189365%,9.77638991205%
NDAQ,-691462,53593.87274155537,107.187745483%,-0.0565808780545%
NE,555,298375.5708013224,149.187785401%,98.1144894977%
NEE,2137,4295.806745670008,8.59161349134%,1.46744919248%
NEM,-687865,300620.64214031835,300.62064214%,-0.159517542514%
NFLX,494,24954.045000845887,24.9540450008%,18.4377053144%
NKE,-688338,204888.4096836324,204.888409684%,-0.108644691321%
NOV,3415,128874.93060026343,64.4374653001%,6.88716686224%
NSC,-691659,162402.244244255,162.402244244%,-0.0857023752299%
NTRS,1941,44185.45730934887,88.3709146187%,16.6179205749%
NUE,-687829,128019.41960758629,70.8003051047%,-0.037570546405%
NVDA,3080,259147.31561247795,518.294631225%,61.4212793497%
NWL,4789,-55945.37980120344,-27.0782759638%,-2.06380679198%
OI,402,195266.2721893491,195.266272189%,177.294003356%
OKE,884,32007.280291211646,64.0145605824%,26.4313513717%
ORCL,3885,203105.48413139413,203.105484131%,19.0819824216%
OXY,-687868,162767.78453616373,89.8866869827%,-0.0476961288338%
PBI,1864,-31839.03988704551,-15.9195199435%,-3.11728797177%
PCG,1869,19569.83451934816,9.78491725967%,1.91091214542%
PCL,777,56953.35900727428,56.9533590073%,26.7541519146%
PCLN,904,-1692.3076923076878,-3.38461538462%,-1.36657590197%
PCP,-687835,1113936.6400332523,1256.81564004%,-0.666929872155%
PDCO,-688409,87542.10894114149,175.084217882%,-0.0928310634042%
PEG,-688410,97625.53324129333,48.8127666206%,-0.0258808846713%
PETM,-689516,290603.14745964797,290.60314746%,-0.153832759244%
PFE,4404,-7008.690776562937,-14.0173815531%,-1.1617493794%
PFG,-691461,38608.84197995675,38.60884198%,-0.0203803646521%
PG,1427,78701.29870129871,78.7012987013%,20.1303251759%
PGR,-688233,-138247.80653505528,-58.1347740413%,0.0308314081497%
PHM,-688285,211128.65453124297,211.128654531%,-0.111962281473%
PKI,4188,534014.598540146,534.01459854%,46.541386931%
PLD,2300,970524.8387907033,485.262419395%,77.0090361214%
PLL,-687093,1275118.8767170734,738.264849645%,-0.392183692921%
PNC,1827,564636.3636363635,282.318181818%,56.4018261432%
PNR,4696,107405.43736549497,53.7027186827%,4.17408269148%
PNW,-688022,90096.49837897954,90.096498379%,-0.0477967592727%
POM,-688332,63501.30951743966,31.7506547587%,-0.0168363362257%
PPL,2757,250695.29423894943,250.695294239%,33.1896200208%
PSA,2937,130237.31587561371,260.474631751%,32.3708684335%
PVH,4200,481783.40926964657,481.78340927%,41.8692724722%
PWR,1013,185602.0942408377,371.204188482%,133.750768801%
PX,-691548,104203.10866340026,104.203108663%,-0.0549985462501%
PXD,-688039,419835.86682346085,419.835866823%,-0.222720065855%
QCOM,2674,54776.42276422765,109.552845528%,14.953922445%
R,5631,262214.9416455076,131.107470823%,8.49835319664%
RAI,-691400,-2451.5287099179695,-1.22576435496%,0.00064709862534%
RDC,-687868,147894.73684210528,147.894736842%,-0.0784766538745%
RF,-691117,-126071.21450553353,-63.0356072528%,0.0332910298072%
RHI,-689363,346712.06453121343,346.712064531%,-0.183575131758%
RIG,-689290,-100872.43093587106,-50.4362154679%,0.0267075086622%
RL,-691603,154056.9503980404,308.113900796%,-0.162610014402%
ROK,5476,69826.14938857066,139.652298777%,9.30845307773%
ROP,4034,374470.5882352941,187.235294118%,16.9412202164%
ROST,-687898,478092.9095354524,239.046454768%,-0.12683850802%
RRC,-687787,-23835.851626240183,-21.4384146053%,0.0113770997866%
RTN,-688253,181408.64583333334,90.7043229167%,-0.0481030636475%
SBUX,4843,239007.4391039451,413.961386908%,31.1988243282%
SCG,-688043,112136.88818145645,112.136888181%,-0.0594875090456%
SCHW,-692593,153826.75261885574,153.826752619%,-0.0810674735463%
SEE,3889,-1174.5757261938415,-1.17457572619%,-0.110239172039%
SHW,4490,130297.31993299833,130.297319933%,10.592098391%
SIAL,-691575,138111.9826886665,276.223965377%,-0.145785702726%
SLM,299,43824.76076555025,87.6495215311%,106.996907555%
SNA,-691295,146914.04297851076,293.828085957%,-0.155139631235%
SNDK,1155,1057459.4594594594,1057.45945946%,334.175500176%
SNI,-692589,69876.23762376237,69.8762376238%,-0.0368253419166%
SO,1896,26751.068727392296,53.5021374548%,10.2997258286%
SPG,-691282,131259.42684766214,131.259426848%,-0.0693055667577%
SRCL,2204,152293.67192299815,152.293671923%,25.2210482087%
STI,-687863,-56104.15913200725,-28.052079566%,0.0148852446513%
STJ,2344,95231.55416012558,190.46310832%,29.6582911847%
STT,845,76209.67741935485,152.419354839%,65.8379461729%
STX,-691602,1345115.6237270706,1345.11562373%,-0.709898471462%
SWK,-689286,273349.0449328841,136.674522466%,-0.0723737326745%
SWN,-687863,128436.80164995111,223.003454907%,-0.118332082175%
SYK,1524,39769.705925686736,39.7697059257%,9.52489676042%
SYMC,2192,758045.4096742349,379.022704837%,63.1128135336%
SYY,-689290,99444.74285495949,49.7223714275%,-0.0263295065517%
T,1487,53250.620347394564,53.2506203474%,13.070932365%
TE,-688068,32565.07348919753,15.9121208554%,-0.00844091588656%
TEG,2854,61666.66666666667,123.333333333%,15.7731838356%
TEL,-691579,157642.18009478672,315.28436019%,-0.166400066325%
TGT,-686526,15521.433653668748,29.1481103563%,-0.0154969517251%
THC,-686457,1104167.1118387042,729.683245964%,-0.387984075881%
TIF,-687900,420617.8041666987,210.308902083%,-0.111589982934%
TMK,2689,147297.1723442432,215.307380109%,29.2254346373%
TMO,3143,23803.030303030304,47.6060606061%,5.52854346841%
TROW,311,28306.31399317406,56.6126279863%,66.4424733602%
TRV,1965,32706.04674796747,32.706046748%,6.07516898881%
TSO,-686744,88760.42410031603,177.520848201%,-0.0943511841286%
TWX,3834,64108.91089108911,64.1089108911%,6.10322182453%
TXN,-688775,145260.29505350091,145.260295054%,-0.0769772533767%
TXT,3931,222813.32475066104,111.406662375%,10.3442970661%
UNH,-690675,328210.958296362,164.105479148%,-0.0867245808652%
UNM,4189,34211.6917626218,17.1058458813%,1.49048310973%
UNP,1106,104802.80455740579,104.802804557%,34.5868206722%
UPS,4425,175828.86638872346,87.9144331944%,7.25169900925%
URBN,-691603,86271.45085803431,172.542901716%,-0.0910611421963%
USB,-691474,174410.63009001286,87.205315045%,-0.0460320127603%
UTX,-691456,179073.1008122313,89.5365504061%,-0.0472638040573%
VFC,-686506,121631.36547994596,60.81568274%,-0.0323343484253%
VIAB,-691450,250070.24723701325,125.035123619%,-0.0660030661953%
VLO,1339,-8476.301250363482,-16.9526025007%,-4.62113511035%
VRTX,-691302,275623.05295950157,551.246105919%,-0.29105199849%
VTR,1665,226598.83720930235,453.197674419%,99.349640338%
VZ,2268,28777.44701563965,28.7774470156%,4.63129107615%
WAT,288,46907.21649484537,93.8144329897%,118.896764032%
WEC,438,683.1203173204049,1.36624063464%,1.1385338622%
WFC,-691282,104425.24554383411,104.425245544%,-0.0551369985382%
WHR,-692586,189493.78886457853,189.493788865%,-0.0998651906558%
WIN,-691138,-36291.01305375356,-18.1455065269%,0.00958290512504%
WM,-688201,161349.96230819734,80.6749811541%,-0.0427874532604%
WMB,3159,295248.43450077093,147.62421725%,17.0569291853%
WMT,1559,11613.720781315162,11.6137207813%,2.71905585964%
WU,841,9880.564603691622,9.88056460369%,4.28823552955%
WY,2940,-45308.58003010536,-45.3085800301%,-5.62504479966%
WYN,-691282,296899.2248062016,296.899224806%,-0.156764123837%
WYNN,-691579,576137.0579796771,288.06852899%,-0.152036156507%
X,-687841,255690.62911956917,255.69062912%,-0.135681181594%
XEL,-691561,47898.92106757524,95.7978421352%,-0.0505612843687%
XL,1640,714416.0091263428,357.208004563%,79.5005619912%
XLNX,-691236,116091.94335097764,116.091943351%,-0.0613011465304%
XRX,-688275,-65309.717298101954,-32.6548586491%,0.0173172400667%
YHOO,1355,-18673.84778386015,-37.3476955677%,-10.0604493596%
ZION,-691474,97938.88485735422,48.9694424287%,-0.0258489060854%
